Company,Industry,Stage,Country,Market Condition,Remote Policy,Company Size,Company Age,Location HQ(Encoded),Funds Raised ($M),Revenue ($M),Burn Rate,Industry Growth (%),Year,Month,Actual Layoffs
Arch Oncology,Consumer,Series A,Pakistan,Recovery,Remote,56,2,106,10.5,11.92,10,-0.003,2021,4,10
DigitalVentures,Hardware,Series E,Russia,Recession,Hybrid,838,8,149,300,211.25,7,0.012,2023,6,75
SmartSolutions,Travel,Subsidiary,Kenya,Stable,Hybrid,4228,29,152,1327.4,1740.29,9,-0.023,2023,11,849
DataGroup,Energy,Subsidiary,Thailand,Recession,Hybrid,1786,24,12,722.1,634.29,14,0.045,2023,3,653
PerkSpot,Education,Post-IPO,Ghana,Recovery,Remote,6645,47,1,2167.8,2214.02,11,0.015,2024,5,1635
Kenko Health,Data,Seed,Hungary,Downturn,Hybrid,41,1,34,3.1,16.02,14,-0.009,2022,10,5
AIVentures,Fitness,Private Equity,South Africa,Stable,Hybrid,7949,31,39,1031.8,2055.86,10,0.051,2023,10,1173
TechInc,AI,Series D,Vietnam,Recession,Hybrid,445,5,88,112.7,64.32,12,-0.002,2023,7,84
CloudLabs,Healthcare,Series I,United Arab Emirates,Stable,Office,2072,15,63,1421.9,309.69,14,0.028,2022,2,749
ApexSolutions,Consumer,Series A,Philippines,Downturn,Office,61,2,137,8.2,27.92,13,0.058,2022,5,9
ExtraHop,Media,Series F,Spain,Recession,Hybrid,1295,14,13,517.1,382.32,12,-0.029,2020,7,389
DataTechnologies,Finance,Series G,Kenya,Recession,Office,914,11,152,656.8,254.43,15,0.029,2020,6,173
TechLabs,Travel,Series E,Indonesia,Recovery,Office,927,9,101,356.9,385.02,12,0.034,2021,6,82
Meta,Aerospace,Series I,Sweden,Recovery,Office,2497,17,80,1187.8,597.07,18,0,2024,12,803
AIVentures,Security,Series B,Malaysia,Stable,Hybrid,207,6,113,34,49.75,10,0.035,2020,2,49
QuantumLabs,Sales,Series G,Denmark,Recession,Hybrid,1593,12,53,686.9,304.44,9,-0.073,2020,9,218
Candy Digital,Support,Series J,Turkey,Stable,Office,2927,15,99,1255.9,599.29,20,0.01,2024,2,693
Flux Systems,Construction,Series F,United States,Downturn,Office,820,11,183,325.9,283.86,17,0.009,2022,9,131
The Modist,Retail,Acquired,New Zealand,Stable,Hybrid,3091,18,231,598.3,780.93,15,0.051,2022,2,669
ChargePoint,Food,Series C,Czech Republic,Recession,Office,226,4,178,75.1,62.27,15,-0.028,2023,6,52
Le Tote,Construction,Series D,New Zealand,Recession,Hybrid,546,8,231,131.8,142.53,16,0.043,2020,7,134
Zeitgold,Recruiting,Series D,Poland,Recovery,Hybrid,647,8,228,181,150.52,11,0.025,2021,1,105
AIInnovations,HR,Acquired,Ukraine,Recession,Remote,3862,20,114,881.1,1005.8,10,-0.049,2023,4,624
TechDynamics,Healthcare,Series B,Canada,Recovery,Hybrid,264,6,218,25.5,58.65,11,0.02,2024,8,96
Compass,Fitness,Series J,Canada,Downturn,Office,2189,22,110,1566.9,974.36,8,0.07,2022,10,374
VTEX,Crypto,Series B,Lithuania,Recession,Office,152,3,226,29.2,65.3,19,-0.076,2023,6,23
Oyster,Security,Series C,Turkey,Stable,Office,276,4,99,62.4,46.26,20,0.046,2022,1,50
Smallcase,Legal,Post-IPO,Russia,Recovery,Remote,7861,18,149,2972.8,2118.53,12,0.036,2024,12,2862
ApexInnovations,Unknown,Acquired,Mexico,Growth,Remote,2286,11,140,291.4,696.28,12,-0.003,2021,11,324
QuantumGroup,Media,Post-IPO,France,Growth,Office,7858,44,171,3039.3,1925.49,14,0.043,2021,9,1373
ApexInc,Healthcare,Unknown,Finland,Recession,Office,578,10,70,66.3,122.55,14,0.024,2020,3,184
CloudTechnologies,Transportation,Series G,Nigeria,Recession,Hybrid,1699,9,115,732.3,244.12,14,0.067,2023,5,329
Workfront,Security,Seed,Indonesia,Stable,Office,18,3,101,2.7,8.33,13,0.021,2020,2,5
Cashfree Payments,Finance,Seed,Austria,Downturn,Hybrid,38,1,225,4,7.77,14,-0.046,2022,10,9
DigitalGroup,HR,Series A,Cayman Islands,Recession,Office,88,3,40,10.5,21.79,15,0.066,2020,4,18
Liftoff,Food,Acquired,Poland,Downturn,Remote,3652,10,228,630.2,430.32,21,0.057,2022,4,337
Sales Boomerang,Transportation,Series C,Austria,Stable,Hybrid,311,4,122,70.9,129.86,11,0.024,2023,12,59
GlobalTechnologies,Sales,Series J,Israel,Recession,Remote,2701,21,215,1729.6,920.01,12,-0.039,2023,9,689
SuperRare,Food,Series C,Poland,Downturn,Hybrid,376,6,234,57.2,146.33,12,0.017,2022,5,100
TechGroup,Healthcare,Unknown,Sweden,Recession,Hybrid,912,8,211,34.5,296.39,10,0.048,2023,6,180
